Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Change detection )  OR Title-Abstr-Key(Stationary process)  OR Title-Abstr-Key(Support vector machine) ,211,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Process Fault Detection and Diagnosis: Past, Present and Future', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'A Systematic Mapping Study of Software Reliability Modeling', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'Static polyhedron simplification using error measurements', 'Expert systems and evolutionary computing for financial investing: A review', 'Land information systems (electronic pages) as a part of IVHS', 'High-level cad model acquisition from range images', 'Segmentation of a wrap-around model using an active contour', 'Reverse engineering of geometric models—an introduction', 'Abstracts', 'Part orientation and build cost determination in layered manufacturing', 'Recursive Identification of Time-varying Systems via Incremental Estimation', '“when tillage begins, other arts follow …” — A core list of agriculture serials', 'Critiquing expert systems for planning and management', 'Design-led component selection', 'Three-dimensional object reconstruction from two-dimensional images', 'Surface reconstruction: from points to splines', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'Calculating derivatives in statistical tolerance analysis', 'On user-defined features'],['Computer Methods and Programs in Biomedicine', 'IFAC Proceedings Volumes', 'Computer-Aided Design', 'Information and Software Technology', 'IFAC-PapersOnLine', 'Computer-Aided Design', 'Data & Knowledge Engineering', 'Computer-Aided Design', 'Expert Systems with Applications', 'Computers, Environment and Urban Systems', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Journal of Cranio-Maxillofacial Surgery', 'Computer-Aided Design', 'Automatica', 'Serials Review', 'Computers, Environment and Urban Systems', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Change detection )  OR Title-Abstr-Key(Stationary process)  OR Title-Abstr-Key(Support vector machine)  AND Title(""Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review"")",1,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review'],['Computer Methods and Programs in Biomedicine'],False,03:56:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(3D computer graphics)  OR Title-Abstr-Key(Immersion )  OR Title-Abstr-Key(Usability)  OR Title-Abstr-Key(Usability testing) ,632,['Patient-Reported Mobility: A Systematic Review', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors'],['Archives of Physical Medicine and Rehabilitation', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology'],"Title-Abstr-Key(3D computer graphics)  OR Title-Abstr-Key(Immersion )  OR Title-Abstr-Key(Usability)  OR Title-Abstr-Key(Usability testing)  AND Title(""Patient-Reported Mobility: A Systematic Review"")",1,['Patient-Reported Mobility: A Systematic Review'],['Archives of Physical Medicine and Rehabilitation'],False,03:57:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Image resolution)  OR Title-Abstr-Key(Synergy)  OR Title-Abstr-Key(TYPSET and RUNOFF) ,0,[],[],Title-Abstr-Key(Image resolution)  OR Title-Abstr-Key(Synergy)  OR Title-Abstr-Key(TYPSET and RUNOFF) ,0,[],[],True,03:58:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Color balance)  OR Title-Abstr-Key(Computer vision)  OR Title-Abstr-Key(Digital imaging) ,257,['A systematic review of game technologies for pediatric patients', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Research on Big Data – A systematic mapping study', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions for Authors', 'Instructions for Authors', 'Instruction for Authors', 'Instructions for Authors', 'Instructions for Authors', 'Instructions for Authors', 'Instructions to Authors', 'Instructions for Authors', 'Instructions for Authors'],['Computers in Biology and Medicine', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Computer Standards & Interfaces', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Color balance)  OR Title-Abstr-Key(Computer vision)  OR Title-Abstr-Key(Digital imaging)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,04:00:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Bible concordance)  OR Title-Abstr-Key(Confidence Intervals)  OR Title-Abstr-Key(David W. Bradley)  OR Title-Abstr-Key(Dichlorodiphenyldichloroethane) ,0,[],[],Title-Abstr-Key(Bible concordance)  OR Title-Abstr-Key(Confidence Intervals)  OR Title-Abstr-Key(David W. Bradley)  OR Title-Abstr-Key(Dichlorodiphenyldichloroethane) ,0,[],[],True,04:01:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Finite-state machine)  OR Title-Abstr-Key(Markov chain)  OR Title-Abstr-Key(Markov decision process) ,27,['Clinical decision consultation service', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Process Fault Detection and Diagnosis: Past, Present and Future', 'Recursive Identification of Time-varying Systems via Incremental Estimation', 'On duality of regularized exponential and linear forgetting', 'Identification of multivariable industrial processes, for simulation, diagnosis and control: By Y. Zhu and T. Backx. Springer-Verlag, London (1993). ISBN 0-387-19835-0/3-540-19835-0', 'Locally optimal adaptive control without persistent excitation', 'Robust predictive control of systems with uncertain impulse response', 'Indirect field-oriented control of induction motors is robustly globally stable', 'Current titles in engineering geology, 2', 'Current titles in engineering geology, 1', 'Induced L2 norm model reduction of polytopic uncertain linear systems', 'Biographical notes on contributors to this issue', 'Robust stability under mixed time-varying, time-invariant and parametric uncertainty', 'An approach to H∞ control of a class of nonlinear systems', 'Erratum', 'Robust constrained model predictive control using linear matrix inequalities', 'Flatness based control of a nonlinear chemical reactor model', 'A priori stability conditions for an arbitrary number of unstable poles', 'Robustness bounds for systems with parametric uncertainty', 'A Parametrization for the closed-loop identification of nonlinear time-varying systems', 'Editorial', 'Output controllers based on iterative schemes for set-point regulation of uncertain flexible-joint robot models', 'A state-of-the-art report on computational stochastic mechanics', 'Principles of organization of neural systems controlling automatic movements in animals'],['The American Journal of Medicine', 'IFAC-PapersOnLine', 'IFAC Proceedings Volumes', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Engineering Geology', 'Engineering Geology', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Probabilistic Engineering Mechanics', 'Progress in Neurobiology'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Finite-state machine)  OR Title-Abstr-Key(Markov chain)  OR Title-Abstr-Key(Markov decision process)  AND Title(""Clinical decision consultation service"")",1,['Clinical decision consultation service'],['The American Journal of Medicine'],False,04:03:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Lisp machine)  OR Title-Abstr-Key(Prolog) ,9,['Wildlife, natural resources, and environmental protection serials published by the U.S. Government and the Council of Europe', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems', 'Chapter 2: motion graphics in film and television: an overview', 'Nursing Research Journals: An Annotated Guide, Part II', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'Magnetic Resonance Imaging of Intracranial Tumors: Tissue Characterization by Means of Texture Analysis', 'Current titles in marine geology', 'Paleoecology of limnic ostracodes: A review of some major topics', '12: Review of Near-Infrared and Infrared Spectroscopy'],['Serials Review', 'Artificial Intelligence in Medicine', 'Motion Graphic Design (Second Edition)', 'Serials Review', 'Data & Knowledge Engineering', 'Zeitschrift für Medizinische Physik', 'Marine Geology', 'Palaeogeography, Palaeoclimatology, Palaeoecology', 'The Handbook of Organic Compounds'],"Title-Abstr-Key(Lisp machine)  OR Title-Abstr-Key(Prolog)  AND Title(""Wildlife, natural resources, and environmental protection serials published by the U.S. Government and the Council of Europe"")",1,['Wildlife, natural resources, and environmental protection serials published by the U.S. Government and the Council of Europe'],['Serials Review'],False,04:04:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Information retrieval)  OR Title-Abstr-Key(String searching algorithm) ,31,"['HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'A Systematic Mapping Study of Software Reliability Modeling', '[37] Internet information on ion channels: Issues of access and organization', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration', 'NASA breakthrough propulsion physics program', 'The Aurora project: A new sail layout', 'Imaging of extrasolar advanced terrestrial planets', ""Applying international space station (ISS) and solar-sail technology to the exploration and diversion of small, dark near earth objects (NEO's)"", 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond', 'Roadmap to a star', 'Preface', 'The AURORA Project: Removal of plastic substrate to obtain an all-metal solar sail', 'On the strategy of space station injection in the point of Earth — Moon Libration / way of making the asteroid patrol/', 'Space missions for SETI', 'The Aurora project: Estimation of the optical sail parameters', 'The IAA Interstellar Space Exploration Committee (ISEC) its history & evolution', 'The parachute sail with hydrostatic beam: A new concept for solar sailing', 'Design issues for a mission to exploit the gravitational lensing effect at 550 AU', 'Italian participation to interplanetary exploration: The Cassini-Huygens mission', 'Optical thomograph of the Universe', 'AIMStar: Antimatter initiated microfusion for pre-cursor interstellar missions', 'Contributions from particle physics engineering developments', 'Radioisotope electric propulsion of sciencecraft to the outer solar system and near-interstellar space', 'Revolutionary systems and technologies for missions to the outer planets']",['Data & Knowledge Engineering', 'Information and Software Technology', 'Methods in Enzymology', 'Managing Trade-Offs in Adaptable Software Architectures', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Information retrieval)  OR Title-Abstr-Key(String searching algorithm)  AND Title(""HIRMA: Hypertextual information retrieval system managed by ARIOSTO"")",1,['HIRMA: Hypertextual information retrieval system managed by ARIOSTO'],['Data & Knowledge Engineering'],False,04:05:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Computer data storage)  OR Title-Abstr-Key(Concurrency )  OR Title-Abstr-Key(Concurrency control) ,285,['Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Rotator cuff tears in young patients: a different disease than rotator cuff tears in elderly patients', 'A systematic review of code generation proposals from state machine specifications', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Three risk of bias tools lead to opposite conclusions in observational research synthesis', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors', 'Guidelines for Contributing Authors'],['IFAC-PapersOnLine', 'Journal of Shoulder and Elbow Surgery', 'Information and Software Technology', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Clinical Epidemiology', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition', 'Journal of Renal Nutrition'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Computer data storage)  OR Title-Abstr-Key(Concurrency )  OR Title-Abstr-Key(Concurrency control)  AND Title(""Modeling, analysis and control of Discrete Event Systems: a Petri net perspective"")",1,['Modeling, analysis and control of Discrete Event Systems: a Petri net perspective'],['IFAC-PapersOnLine'],False,04:06:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Computer data storage)  OR Title-Abstr-Key(Data structure)  OR Title-Abstr-Key(Dynamic programming) ,475,['Research on Big Data – A systematic mapping study', 'A systematic review of code generation proposals from state machine specifications', 'Systematization of clinical trials related to treatment of metabolic syndrome, 1980–2015', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'A Systematic Mapping Study of Software Reliability Modeling', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'A Computer-Aided Tool for the Simulation and Optimization of the Combined HDS–FCC Processes', 'Dynamic interaction effects in underground traffic systems', 'NASA breakthrough propulsion physics program', 'Computers in the lipid research laboratory', 'A systematic literature review of software visualization evaluation', 'The complex carbohydrate structure database', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'Engineering periodicals: Diversity and complexity', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'Land information systems (electronic pages) as a part of IVHS', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'The role of GIS-based spatial analysis in strategic management in local government', 'Chapter 2: motion graphics in film and television: an overview', 'Surface reconstruction: from points to splines', '[37] Internet information on ion channels: Issues of access and organization', 'Managing Nitrogen on Dairy Farms: An Integrated Approach I. Model Description', 'A new approach to dynamic condensation for FEM', 'Québec periodicals: An annotated bibliography of a distinctive North American minority literature'],['Computer Standards & Interfaces', 'Information and Software Technology', 'Endocrinología, Diabetes y Nutrición (English ed.)', 'Computer Methods and Programs in Biomedicine', 'Information and Software Technology', 'Procedia Environmental Sciences', 'Managing Trade-Offs in Adaptable Software Architectures', 'Chemical Engineering Research and Design', 'Engineering Analysis with Boundary Elements', 'Acta Astronautica', 'Progress in Lipid Research', 'Journal of Systems and Software', 'Trends in Biochemical Sciences', 'Journal of the Academy of Nutrition and Dietetics', 'Serials Review', 'Computer-Aided Design', 'Computers, Environment and Urban Systems', 'IFAC-PapersOnLine', 'Computers, Environment and Urban Systems', 'Motion Graphic Design (Second Edition)', 'Computer-Aided Design', 'Methods in Enzymology', 'Journal of Dairy Science', 'Computers & Structures', 'Serials Review'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Computer data storage)  OR Title-Abstr-Key(Data structure)  OR Title-Abstr-Key(Dynamic programming)  AND Title(""Research on Big Data – A systematic mapping study"")",1,['Research on Big Data – A systematic mapping study'],['Computer Standards & Interfaces'],False,04:07:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Eisenstein's criterion)  OR Title-Abstr-Key(Metamodeling) ,0,[],[],Title-Abstr-Key(Eisenstein's criterion)  OR Title-Abstr-Key(Metamodeling) ,0,[],[],True,04:08:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(ASCEND)  OR Title-Abstr-Key(Algebraic equation)  OR Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Analogue electronics) ,50,"['Engineering periodicals: Diversity and complexity', 'Engineering periodicals: Diversity and complexity, part 2', 'CHAPTER 1: FUNDAMENTALS OF DIGITAL AND ANALOG COMPUTERS', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration', 'Continuous Computer Acquisition of Feed and Water Intakes, Chewing, Reticular Motility, and Ruminal pH of Cattle', 'Computers in the lipid research laboratory', 'How to use EEG/ERPB phenomena', 'The central visual system', 'Renin inhibitor SC-51106 complexed with human renin: Discovery of a new binding site adjacent to P3', 'NASA breakthrough propulsion physics program', 'The Aurora project: A new sail layout', 'Imaging of extrasolar advanced terrestrial planets', ""Applying international space station (ISS) and solar-sail technology to the exploration and diversion of small, dark near earth objects (NEO's)"", 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond', 'Roadmap to a star', 'Preface', 'The AURORA Project: Removal of plastic substrate to obtain an all-metal solar sail', 'On the strategy of space station injection in the point of Earth — Moon Libration / way of making the asteroid patrol/', 'Space missions for SETI', 'The Aurora project: Estimation of the optical sail parameters', 'The parachute sail with hydrostatic beam: A new concept for solar sailing', 'Design issues for a mission to exploit the gravitational lensing effect at 550 AU', 'AIMStar: Antimatter initiated microfusion for pre-cursor interstellar missions', 'The IAA Interstellar Space Exploration Committee (ISEC) its history & evolution', 'Italian participation to interplanetary exploration: The Cassini-Huygens mission']",['Serials Review', 'Serials Review', 'Electrophysiological Methods', 'Acta Astronautica', 'Journal of Dairy Science', 'Progress in Lipid Research', 'International Journal of Psychophysiology', 'Vision Research', 'Bioorganic & Medicinal Chemistry', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica'],"Title-Abstr-Key(ASCEND)  OR Title-Abstr-Key(Algebraic equation)  OR Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Analogue electronics)  AND Title(""Engineering periodicals: Diversity and complexity"")",2,['Engineering periodicals: Diversity and complexity', 'Engineering periodicals: Diversity and complexity, part 2'],['Serials Review', 'Serials Review'],False,04:10:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Curve fitting)  OR Title-Abstr-Key(Diode)  OR Title-Abstr-Key(Discrete optimization) ,135,['State of the art and challenges of security SLA for cloud computing', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'Reverse engineering of geometric models—an introduction', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'High-level cad model acquisition from range images', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'Surface reconstruction: from points to splines', 'Static polyhedron simplification using error measurements', 'A systematic literature review of software visualization evaluation', 'Land information systems (electronic pages) as a part of IVHS', 'The role of GIS-based spatial analysis in strategic management in local government', 'Abstracts', 'Three-dimensional object reconstruction from two-dimensional images', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'Segmentation of a wrap-around model using an active contour', 'A Historical Perspective of Morphine Syntheses', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'Critiquing expert systems for planning and management', 'The Aurora project: Estimation of the optical sail parameters', 'Recursive Identification of Time-varying Systems via Incremental Estimation', '8: Main industrial processes using metal oxides as catalysts or support and future trends in heterogeneous catalysis', 'Implementation and management effectiveness in adoption of GIS technology in local governments', 'Part orientation and build cost determination in layered manufacturing'],['Computers & Electrical Engineering', 'IFAC-PapersOnLine', 'Procedia Environmental Sciences', 'Computer-Aided Design', 'Managing Trade-Offs in Adaptable Software Architectures', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Journal of Systems and Software', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'Journal of Cranio-Maxillofacial Surgery', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Studies in Natural Products Chemistry', 'Computer-Aided Design', 'Computers, Environment and Urban Systems', 'Acta Astronautica', 'Automatica', 'Metal Oxides in Heterogeneous Catalysis', 'Computers, Environment and Urban Systems', 'Computer-Aided Design'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Curve fitting)  OR Title-Abstr-Key(Diode)  OR Title-Abstr-Key(Discrete optimization)  AND Title(""State of the art and challenges of security SLA for cloud computing"")",1,['State of the art and challenges of security SLA for cloud computing'],['Computers & Electrical Engineering'],False,04:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Cryptography)  OR Title-Abstr-Key(Hilbert's tenth problem)  OR Title-Abstr-Key(Key-agreement protocol)  OR Title-Abstr-Key(Modular exponentiation) ,1,['CHAPTER 1: FUNDAMENTALS OF DIGITAL AND ANALOG COMPUTERS'],['Electrophysiological Methods'],"Title-Abstr-Key(Cryptography)  OR Title-Abstr-Key(Hilbert's tenth problem)  OR Title-Abstr-Key(Key-agreement protocol)  OR Title-Abstr-Key(Modular exponentiation)  AND Title(""CHAPTER 1: FUNDAMENTALS OF DIGITAL AND ANALOG COMPUTERS"")",1,['CHAPTER 1: FUNDAMENTALS OF DIGITAL AND ANALOG COMPUTERS'],['Electrophysiological Methods'],False,04:11:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
